vrad	CCF	CCF_spot
----	---	--------
-50.000000	1.000000	1.000000
-49.750000	1.000000	1.000000
-49.500000	1.000000	1.000000
-49.250000	1.000000	1.000000
-49.000000	1.000000	1.000000
-48.750000	1.000000	1.000000
-48.500000	0.999996	0.999998
-48.250000	0.999984	0.999990
-48.000000	0.999965	0.999979
-47.750000	0.999943	0.999967
-47.500000	0.999912	0.999952
-47.250000	0.999871	0.999931
-47.000000	0.999825	0.999909
-46.750000	0.999776	0.999890
-46.500000	0.999735	0.999882
-46.250000	0.999650	0.999835
-46.000000	0.999572	0.999800
-45.750000	0.999484	0.999760
-45.500000	0.999411	0.999742
-45.250000	0.999331	0.999717
-45.000000	0.999169	0.999619
-44.750000	0.999037	0.999546
-44.500000	0.998900	0.999470
-44.250000	0.998797	0.999424
-44.000000	0.998619	0.999316
-43.750000	0.998427	0.999199
-43.500000	0.998199	0.999049
-43.250000	0.997968	0.998890
-43.000000	0.997811	0.998792
-42.750000	0.997630	0.998677
-42.500000	0.997439	0.998536
-42.250000	0.997192	0.998350
-42.000000	0.996849	0.998058
-41.750000	0.996780	0.998064
-41.500000	0.996739	0.998077
-41.250000	0.996631	0.998017
-41.000000	0.996470	0.997904
-40.750000	0.996221	0.997701
-40.500000	0.996311	0.997853
-40.250000	0.996255	0.997822
-40.000000	0.996257	0.997860
-39.750000	0.995942	0.997544
-39.500000	0.995878	0.997492
-39.250000	0.995929	0.997542
-39.000000	0.995890	0.997502
-38.750000	0.995881	0.997489
-38.500000	0.995512	0.997122
-38.250000	0.995601	0.997252
-38.000000	0.995229	0.996969
-37.750000	0.995126	0.997032
-37.500000	0.994994	0.997069
-37.250000	0.994751	0.997052
-37.000000	0.994591	0.997100
-36.750000	0.994121	0.996882
-36.500000	0.994008	0.996996
-36.250000	0.993810	0.997064
-36.000000	0.993548	0.997011
-35.750000	0.993183	0.996883
-35.500000	0.992948	0.996772
-35.250000	0.992958	0.996937
-35.000000	0.992894	0.997022
-34.750000	0.992723	0.997002
-34.500000	0.992912	0.997365
-34.250000	0.992846	0.997313
-34.000000	0.993001	0.997553
-33.750000	0.993176	0.997754
-33.500000	0.993292	0.998029
-33.250000	0.993351	0.998159
-33.000000	0.993558	0.998471
-32.750000	0.992980	0.997912
-32.500000	0.993157	0.998191
-32.250000	0.992915	0.997994
-32.000000	0.992894	0.997979
-31.750000	0.992281	0.997455
-31.500000	0.991949	0.997250
-31.250000	0.991544	0.997099
-31.000000	0.991476	0.997212
-30.750000	0.990416	0.996165
-30.500000	0.990042	0.995721
-30.250000	0.989395	0.994908
-30.000000	0.989383	0.994747
-29.750000	0.989183	0.994293
-29.500000	0.989129	0.994039
-29.250000	0.989066	0.993618
-29.000000	0.989006	0.993149
-28.750000	0.989567	0.993182
-28.500000	0.989943	0.992882
-28.250000	0.990159	0.992480
-28.000000	0.990638	0.992355
-27.750000	0.990983	0.992374
-27.500000	0.991629	0.992673
-27.250000	0.992165	0.992995
-27.000000	0.992326	0.992837
-26.750000	0.993040	0.993457
-26.500000	0.992785	0.993202
-26.250000	0.993367	0.993928
-26.000000	0.992927	0.993617
-25.750000	0.993186	0.994035
-25.500000	0.993238	0.994288
-25.250000	0.992695	0.994083
-25.000000	0.992501	0.994266
-24.750000	0.991991	0.994154
-24.500000	0.992387	0.995046
-24.250000	0.992085	0.995222
-24.000000	0.991891	0.995647
-23.750000	0.991220	0.995460
-23.500000	0.992214	0.996840
-23.250000	0.991365	0.996239
-23.000000	0.992092	0.997100
-22.750000	0.990862	0.995902
-22.500000	0.992204	0.997205
-22.250000	0.991614	0.996552
-22.000000	0.991513	0.996325
-21.750000	0.991077	0.995664
-21.500000	0.990818	0.995091
-21.250000	0.991269	0.995157
-21.000000	0.990534	0.994155
-20.750000	0.989902	0.993257
-20.500000	0.989568	0.992792
-20.250000	0.988811	0.991898
-20.000000	0.988762	0.991840
-19.750000	0.987370	0.990419
-19.500000	0.987355	0.990411
-19.250000	0.986410	0.989259
-19.000000	0.986111	0.988850
-18.750000	0.985384	0.988007
-18.500000	0.985603	0.988503
-18.250000	0.984654	0.987837
-18.000000	0.984358	0.987856
-17.750000	0.983448	0.987014
-17.500000	0.984067	0.987672
-17.250000	0.984401	0.988009
-17.000000	0.983708	0.987309
